================ Coverage for /Users/shurtj/Development/khoros/ ================
------------------------------ Detailed Coverage -------------------------------
| Name                                                                  |  Status |
|     UserCreationError.__init__ (L510)                                 | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/errors/handlers.py (module)                                    | COVERED |
|   eprint (L19)                                                        | COVERED |
|   _exceptions_module_imported (L25)                                   | COVERED |
|   _import_exceptions_module (L35)                                     | COVERED |
|   _import_exception_classes (L42)                                     | COVERED |
|   get_error_from_html (L49)                                           | COVERED |
|   get_error_from_xml (L69)                                            | COVERED |
|   _get_v1_error_from_json (L111)                                      | COVERED |
|   _get_v2_error_from_json (L136)                                      | COVERED |
|   get_error_from_json (L154)                                          | COVERED |
|   verify_v1_response (L181)                                           | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/objects/__init__.py (module)                                   | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/objects/albums.py (module)                                     | COVERED |
|   create (L16)                                                        | COVERED |
|   format_album_json (L49)                                             | COVERED |
|   _null_to_blank (L86)                                                | COVERED |
|   get_albums_for_user (L94)                                           | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/objects/attachments.py (module)                                | COVERED |
|   construct_multipart_payload (L19)                                   | COVERED |
|   format_attachment_payload (L43)                                     | COVERED |
|   get_list_items (L63)                                                | COVERED |
|   get_file_upload_info (L87)                                          | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/objects/base.py (module)                                       | COVERED |
|   get_node_id (L17)                                                   | COVERED |
|   __get_node_type_identifier (L37)                                    | COVERED |
|   get_node_type_from_url (L53)                                        | COVERED |
|   Mapping (L69)                                                       | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/objects/messages.py (module)                                   | COVERED |
|   create (L34)                                                        | COVERED |
|   construct_payload (L124)                                            | COVERED |
|   _verify_required_fields (L226)                                      | COVERED |
|   _confirm_field_supplied (L255)                                      | COVERED |
|   parse_v2_response (L270)                                            | COVERED |
|   get_id_from_url (L305)                                              | COVERED |
|   _get_required_user_mention_data (L321)                              | COVERED |
|   format_user_mention (L357)                                          | COVERED |
|   _report_missing_id_and_retrieve (L388)                              | COVERED |
|   _check_for_bad_content_id (L406)                                    | COVERED |
|   _get_required_content_mention_data (L423)                           | COVERED |
|   format_content_mention (L457)                                       | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/objects/roles.py (module)                                      | COVERED |
|   get_total_role_count (L22)                                          | COVERED |
|   count_role_types (L65)                                              | COVERED |
|   get_roles_for_user (L88)                                            | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/objects/users.py (module)                                      | COVERED |
|   create (L18)                                                        | COVERED |
|   process_user_settings (L58)                                         | COVERED |
|   structure_payload (L213)                                            | COVERED |
|   delete (L260)                                                       | COVERED |
|   _get_where_clause_for_user_id (L277)                                | COVERED |
|   _get_where_clause_for_username (L303)                               | COVERED |
|   _get_where_clause_for_email (L329)                                  | COVERED |
|   _get_user_identifier (L355)                                         | COVERED |
|   get_user_id (L382)                                                  | COVERED |
|   get_username (L418)                                                 | COVERED |
|   get_login (L454)                                                    | COVERED |
|   get_email (L461)                                                    | COVERED |
|   query_users_table_by_id (L492)                                      | COVERED |
|   _get_count (L515)                                                   | COVERED |
|   _get_sum_weight (L530)                                              | COVERED |
|   _process_settings_and_user_id (L545)                                | COVERED |
|   get_user_data (L565)                                                | COVERED |
|   get_user_data_with_v1 (L586)                                        | COVERED |
|   get_album_count (L611)                                              | COVERED |
